"MONTH","DAY_OF_WEEK","DEP_DEL15","DEP_TIME_BLK","DISTANCE_GROUP","SEGMENT_NUMBER","CONCURRENT_FLIGHTS","NUMBER_OF_SEATS","CARRIER_NAME","AIRPORT_FLIGHTS_MONTH","AIRLINE_FLIGHTS_MONTH","AIRLINE_AIRPORT_FLIGHTS_MONTH","AVG_MONTHLY_PASS_AIRPORT","AVG_MONTHLY_PASS_AIRLINE","FLT_ATTENDANTS_PER_PASS","GROUND_SERV_PER_PASS","PLANE_AGE","DEPARTING_AIRPORT","LATITUDE","LONGITUDE","PREVIOUS_AIRPORT","PRCP","SNOW","SNWD","TMAX","AWND"
1,7,0,"1200-1259",7,3,26,180,"Delta Air Lines Inc.",13056,73508,1174,1903352,12460183,0.00014416588498786,0.000148660200942204,1,"McCarran International",36.08,-115.152,"Salt Lake City International",0,0,0,65,2.91
1,7,0,"1200-1259",1,3,26,143,"Southwest Airlines Co.",13056,107363,5873,1903352,13382999,6.17823630146092e-05,9.88941230999822e-05,14,"McCarran International",36.08,-115.152,"Sacramento International",0,0,0,65,2.91
1,7,1,"1100-1159",1,4,26,162,"JetBlue Airways",13056,23463,299,1903352,3190369,0.000160038925478751,0.00012686617611397,15,"McCarran International",36.08,-115.152,"Long Beach Daugherty Field",0,0,0,65,2.91
1,5,0,"1600-1659",2,4,27,178,"Spirit Air Lines",11861,15023,1327,1823051,2688839,9.17372392570424e-06,0.000124651073071562,6,"Orlando International",28.432,-81.325,"Piedmont Triad International",0,0,0,74,9.62
1,3,0,"1200-1259",3,3,3,50,"SkyWest Airlines Inc.",1561,62105,869,171473,3472966,3.41926740144364e-05,9.90027880586417e-05,16,"Boise Air Terminal",43.565,-116.225,"Los Angeles International",0.01,0.2,0,43,6.71
1,5,0,"1900-1959",3,6,14,110,"Delta Air Lines Inc.",4677,73508,666,573075,12460183,0.00014416588498786,0.000148660200942204,20,"Raleigh-Durham International",35.875,-78.782,"Orlando International",0,0,0,43,2.01
1,5,0,"1400-1459",4,5,14,90,"Comair Inc.",4308,22418,31,477995,1245396,0,8.99981056904297e-05,3,"Kansas City International",39.298,-94.714,"Douglas Municipal",0.62,2.1,0,39,9.17
1,5,0,"0600-0659",8,1,22,199,"Delta Air Lines Inc.",10155,73508,2173,1960746,12460183,0.00014416588498786,0.000148660200942204,20,"Seattle International",47.447,-122.306,"NONE",0,0,0,61,7.61
1,5,0,"1100-1159",1,2,26,119,"Alaska Airlines Inc.",10155,20315,5024,1960746,2884187,3.23314615661123e-05,0.000174601449726556,12,"Seattle International",47.447,-122.306,"Los Angeles International",0,0,0,61,7.61
1,5,0,"2100-2159",11,3,17,181,"American Airlines Inc.",10155,75506,552,1960746,11744595,9.82082928995461e-05,0.000177287219593097,4,"Seattle International",47.447,-122.306,"Dallas Fort Worth Regional",0,0,0,61,7.61
